Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”,Name: “Table 1 of 1 on page 66 of 125”
Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66,Table: 66
,,,,,,,,,
,,,,Year of Death,Year of Death,,,,
Locality of Death,1999,2000,2001,2002,2003,2004,2005,2006,Total
Westmoreland,3,2,0,0,0,3,1,1,10
Williamsburg,0,0,1,2,2,0,3,1,9
Winchester,6,3,2,5,2,0,1,2,21
Wise,1,1,2,2,1,1,3,0,11
Wythe,2,2,2,0,0,1,0,0,7
York,1,2,1,0,0,1,1,2,8
Subtotal for State,445,458,423,427,457,426,494,425,3555
Out of State,3,4,5,0,2,3,4,2,23
Total,448,462,428,427,459,429,498,427,3578
,,"Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007","Virginia Department of Health, Office of the Chief Medical Examiner ƇNovember 2007",,
,,,,Page 60,Page 60,,,,
