Arrests by Offense,Powhatan,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,2
Robbery,1,0
Aggravated Assault,3,1
Simple Assault/Intimidation,52,12
Arson,0,0
Extortion/Blackmail,0,0
Burglary,9,2
Larceny,38,10
Motor Vehicle Theft,3,2
Counterfeiting/Forgery,1,0
Fraud,17,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,6,3
Drug/Narcotic Offenses,67,12
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,2
TOTAL GROUP A,214,46
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,0
Driving Under Influence,56,0
Drunkenness,6,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,7,8
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,4
Conspiracy,0,0
All Other (except Traffic),22,4
TOTAL GROUP B,100,16
GRAND TOTAL,314,62
