Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,7,0
Manslaughter,0,0
Kidnaping,80,4
"Sex Offenses, Forcible",48,20
Robbery,61,24
Aggravated Assault,169,17
Simple Assault/Intimidation,1405,300
Arson,1,1
Extortion/Blackmail,2,1
Burglary,98,51
Larceny,987,191
Motor Vehicle Theft,21,12
Counterfeiting/Forgery,99,2
Fraud,209,21
Embezzlement,81,1
Stolen Property,53,17
Vandalism,112,68
Drug/Narcotic Offenses,1926,269
"Sex Offenses, Nonforcible",2,2
Pornography,8,9
Gambling,1,0
Prostitution,19,0
Bribery,0,0
Weapon Law Violations,87,16
TOTAL GROUP A,5476,1026
Bad Checks,28,0
Curfew/Loitering/Vagrancy,0,83
Disorderly Conduct,110,31
Driving Under Influence,1636,5
Drunkenness,823,19
"Family Offenses, Nonforcible",8,1
Liquor Laws Violations,221,80
Peeping Tom,0,0
Runaway,0,701
Trespass of Real Property,118,16
Conspiracy,0,0
All Other (except Traffic),2439,57
TOTAL GROUP B,5383,993
GRAND TOTAL,10859,2019
