Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,8,1
"Sex Offenses, Forcible",4,3
Robbery,6,1
Aggravated Assault,39,0
Simple Assault/Intimidation,408,39
Arson,0,0
Extortion/Blackmail,0,0
Burglary,34,4
Larceny,462,15
Motor Vehicle Theft,9,0
Counterfeiting/Forgery,14,0
Fraud,67,1
Embezzlement,11,0
Stolen Property,4,1
Vandalism,32,3
Drug/Narcotic Offenses,300,31
"Sex Offenses, Nonforcible",1,1
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,29,3
TOTAL GROUP A,1429,103
Bad Checks,9,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,12,20
Driving Under Influence,293,1
Drunkenness,94,0
"Family Offenses, Nonforcible",20,0
Liquor Laws Violations,80,41
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,24,4
Conspiracy,6,0
All Other (except Traffic),1090,57
TOTAL GROUP B,1629,123
GRAND TOTAL,3058,226
