Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”,Name: “Table 1 of 1 on page 96 of 98”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,,,,,,,
,,,,,,2012 Annual Report,2012 Annual Report,2012 Annual Report,,,,,,
Appendix 3,Appendix 3,,,,,,,,,,,,,
Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,Sentencing Guidelines Compliance by Judicial Circuit:,,,,,,
"Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses","Property, Drug, and Miscellaneous Offenses",,,,,,,,
,,TRAFFIC,,,,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,,WEAPONS,WEAPONS,WEAPONS,
,,,n,,,,,,,,,,,
,,,o,,,,,,,,,,,
,,,i,,,,,,,,,,,
,,,t,,,,,,,,,,,
,,,a,,,,,,,,,,,
,,,v,,,,,,,,,,,
,,,a,,,,,,,,,,,
,,,r,,,,,,,,,,,
,,,g,f,,,,,,,,,,
,,,g,o,,,,,,,,,,
,,,A,,,,,,,,,,,
1,78.4%,3.4%,18.2%,88,1,87.0%,8.7%,4.3%,23,1,77.3%,18.2%,4.5%,22
2,81.5,7.4,11.1,108,2,74.2,19.4,6.5,31,2,72.0,20.0,8.0,25
3,80.0,8.0,12.0,25,3,80.0,6.7,13.3,15,3,64.3,7.1,28.6,14
4,87.4,5.7,6.9,87,4,87.8,8.2,4.1,49,4,80.0,8.6,11.4,35
5,75.0,5.6,19.4,36,5,70.6,17.6,11.8,17,5,73.3,13.3,13.3,15
6,78.3,0.0,21.7,23,6,62.5,18.8,18.8,16,6,71.4,28.6,0.0,14
7,83.0,5.7,11.3,53,7,66.7,9.5,23.8,21,7,87.0,8.7,4.3,23
8,80.0,10.0,10.0,30,8,58.3,41.7,0.0,12,8,71.4,14.3,14.3,7
9,75.4,3.3,21.3,61,9,64.7,17.6,17.6,17,9,81.8,18.2,0.0,11
10,85.5,9.7,4.8,62,10,73.9,4.3,21.7,23,10,65.2,0.0,34.8,23
11,92.3,0.0,7.7,39,11,76.2,23.8,0.0,21,11,60.0,30.0,10.0,10
12,84.9,9.7,5.4,93,12,79.3,17.2,3.4,29,12,79.2,4.2,16.7,24
13,81.1,8.1,10.8,37,13,63.2,13.2,23.7,38,13,76.1,8.7,15.2,46
14,72.2,3.7,24.1,54,14,71.4,23.8,4.8,21,14,75.0,14.3,10.7,28
15,80.3,6.1,13.6,132,15,63.3,14.4,22.2,90,15,84.2,5.3,10.5,38
16,73.1,11.5,15.4,52,16,84.0,12.0,4.0,25,16,69.2,15.4,15.4,13
17,79.2,12.5,8.3,24,17,77.8,11.1,11.1,9,17,100.0,0.0,0.0,1
18,88.2,5.9,5.9,17,18,85.7,0.0,14.3,7,18,50.0,0.0,50.0,2
19,63.0,9.9,27.2,81,19,61.3,16.1,22.6,31,19,85.7,0.0,14.3,7
20,79.7,0.0,20.3,59,20,85.7,0.0,14.3,14,20,50.0,50.0,0.0,4
21,87.9,12.1,0.0,33,21,80.0,10.0,10.0,10,21,93.3,6.7,0.0,15
22,78.8,6.1,15.2,66,22,64.0,12.0,24.0,25,22,71.4,19.0,9.5,21
23,80.0,14.5,5.5,55,23,69.2,19.2,11.5,26,23,81.3,0.0,18.8,16
24,89.8,5.7,4.5,88,24,63.3,16.7,20.0,30,24,76.3,18.4,5.3,38
25,79.2,6.9,13.9,72,25,71.4,7.1,21.4,28,25,68.2,22.7,9.1,22
26,80.2,10.4,9.4,106,26,69.2,7.7,23.1,26,26,62.9,17.1,20.0,35
27,92.5,1.9,5.7,53,27,85.7,6.1,8.2,49,27,83.8,13.5,2.7,37
28,87.5,3.1,9.4,32,28,63.6,9.1,27.3,11,28,87.5,6.3,6.3,16
29,75.6,12.2,12.2,41,29,54.8,21.4,23.8,42,29,58.8,23.5,17.6,17
30,87.5,6.3,6.3,16,30,76.9,7.7,15.4,13,30,62.5,6.3,31.3,16
31,86.9,3.3,9.8,61,31,75.0,12.5,12.5,16,31,85.7,14.3,0.0,7
Total,81.1,6.8,12.2,1784,Total,71.7,13.5,14.8,785,Total,75.2,12.8,12.0,602
,,,,,,,88,,,,,,,
