Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”,Name: “Table 1 of 1 on page 111 of 117”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,,,,
Appendix 2,,,,,,,
Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,Judicial Reasons for Departure from Sentencing Guidelines,,,,,
Offenses Against the Person,,,,,,,
,Assault,Homicide,Kidnapping,Robbery,Rape,Sexual,Assault
Reasons for AGGRAVATION,(N=166),(N=54),(N=23),(N=74),(N=27),(N=119),(N=119)
Plea agreement,41,6,9,12,2,37,37
No reason given,30,5,0,16,3,9,
Aggravating circumstances/flagrancy of offense,33,16,10,16,10,34,34
Offender has extensive prior record,16,5,1,6,1,12,12
Offender has poor rehabilitation potential,16,5,1,2,5,14,14
Number of violations/counts in the event,9,2,1,4,0,9,
Guidelines recommendation is too low,8,2,1,5,0,14,14
Jury sentence,18,13,8,10,11,3,
"Type of victim (child, etc.)",9,7,0,4,7,24,24
Offender is sentenced to an alternative punishment,0,0,0,0,0,0,
Offense involved a degree of planning/violation of trust,2,0,0,3,2,12,12
Current offense involves drugs/alcohol (large amount),0,5,0,0,0,0,
Judicial discretion,2,2,0,1,0,7,
"Degree of victim injury (physical, emotional, etc.)",24,9,0,8,0,3,
Extreme property or monetary loss,0,0,0,0,0,0,
Offender's substance abuse issues,0,1,0,0,0,0,
Poor conduct since commission of offense,1,1,1,1,1,0,
"Victim circumstances (facts of the case, etc.)",2,1,1,2,3,3,
Offender needs rehabilitation offered by jail/prison,0,0,0,1,0,1,
Aggravating court circumstances/proceedings,0,0,0,0,0,2,
True offense behavior was more serious,5,0,0,0,1,5,
Sentence recommended by Commonwealth Attorney,0,1,0,0,1,2,
Offender used a weapon in commission of the offense,2,0,0,1,0,0,
Prior record not adequately weighed by guidelines,1,0,0,1,0,1,
Seriousness of offense,3,1,1,4,0,2,
Victim request,1,0,0,2,2,6,
Violent/disruptive behavior in custody,1,1,1,0,0,0,
Current offense involves accident/reckless driving,0,5,0,1,0,0,
Offender failed alternative sanction program,0,0,0,0,0,0,
Sentencing guidelines not appropriate,7,0,0,1,0,1,
Degree of violence toward victim,6,4,0,6,1,0,
Aggravating facts involving the breaking and entering,1,0,0,2,0,0,
Mandatory minimum involved in event,2,0,0,2,0,1,
"Offender issues (age of offender, lacks family support, etc.)",0,1,0,0,1,1,
"Used, etc., drugs/alcohol while on probation",1,0,0,0,0,0,
Failed to follow instructions while on probation,0,0,0,0,0,0,
Child present at time of offense,0,0,0,0,0,0,
Absconded from probation supervision,0,0,0,0,0,0,
Offender failed to cooperate with authorities,1,0,0,0,0,0,
Committed offense while on probation,0,0,0,1,0,0,
Facts of sex offense involved,0,0,0,1,1,6,
Judge thought sentence was in compliance,0,0,0,0,0,0,
Offender was the leader,2,0,0,0,0,0,
Note:,Figures indicate the number of times a departure reason was cited.,,,,,,
"Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.","Because multiple reasons may be cited in each case, figures will not total the number of cases in each offense group.",,,
,,,,,,,111
