Arrests by Offense,Prince George,
,Adult,Juvenile
Murder,1,
Manslaughter,,
Forcible Rape,2,
Robbery,,
Aggravated Assault,5,5
Burglary,6,
Larceny,36,17
Motor Vehicle Theft,8,
Arson,1,
SUBTOTAL FOR PART I OFFENSES,59,22
Other Assaults,74,10
Forgery & Counterfeiting,2,
Fraud,,
Embezzlement,2,
"Stolen Property: Buy, Receiving, Poss.",2,
Vandalism,5,
"Weapons: Possessing, Etc.",6,5
Prostitution & Commercialized Vice,,
Sex Offenses (except Rape & Prostitution),2,
Narcotic Drug Laws: Sale/Manufacture,4,
Narcotic Drug Laws: Possession,41,6
Gambling,,
Offenses Against the Family,1,
Driving Under the Influence,44,2
Liquor Laws,10,9
Public Drunkenness,29,4
Disorderly Conduct,7,14
All Other (except Traffic),92,21
Curfew & Loitering,,24
"Runaways, Juveniles Apprehended",,
SUBTOTAL FOR PART II OFFENSES,321,95
TOTAL,380,117
