Arrests by Offense,Alleghany ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,1
Robbery,0,0
Aggravated Assault,13,1
Simple Assault/Intimidation,131,10
Arson,0,0
Extortion/Blackmail,0,0
Burglary,11,3
Larceny,12,5
Motor Vehicle Theft,2,1
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,5,1
Drug/Narcotic Offenses,43,6
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,231,28
Bad Checks,36,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,4,4
Driving Under Influence,89,0
Drunkenness,69,0
"Family Offenses, Nonforcible",10,
Liquor Laws Violations,26,9
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,1
Conspiracy,0,0
All Other (except Traffic),262,16
TOTAL GROUP B,521,30
GRAND TOTAL,752,58
