Arrests by Offense,King William,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,1
Robbery,1,0
Aggravated Assault,3,1
Simple Assault/Intimidation,42,9
Arson,1,2
Extortion/Blackmail,0,0
Burglary,14,
Larceny,31,22
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,9,0
Fraud,4,0
Embezzlement,4,0
Stolen Property,2,0
Vandalism,40,32
Drug/Narcotic Offenses,34,16
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,2
TOTAL GROUP A,195,86
Bad Checks,4,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,2,6
Driving Under Influence,53,1
Drunkenness,37,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,18,6
Peeping Tom,0,1
Runaway,0,6
Trespass of Real Property,8,0
Conspiracy,0,0
All Other (except Traffic),69,19
TOTAL GROUP B,193,39
GRAND TOTAL,388,125
