COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD,85900,4905.7,4214,2,17,17,46,20,106,1007,26,0,343,1802,74,42,221,66,1,1341,228,3,3,0,0,0,54
State Police,,,66,0,0,0,2,0,1,4,0,0,0,3,0,3,20,0,0,6,23,0,0,0,0,0,9
Arlington County PD6,191300,6086.77,11644,3,23,29,83,199,161,1689,14,5,490,5395,702,195,1221,97,36,1581,757,5,1,0,36,0,63
State Police,,,41,0,0,0,0,0,3,2,0,0,1,4,0,7,9,0,1,2,19,0,0,0,0,0,1
Chesterfield County PD,263400,6388.38,16827,7,51,54,201,200,311,4679,85,6,1228,7054,460,305,591,168,21,3886,1282,2,4,0,14,2,392
State Police,,,282,0,0,0,2,0,17,12,0,0,3,13,7,12,39,0,0,8,154,0,0,0,1,0,29
Fairfax County PDi,950992,2270.78,21595,1,10,36,59,121,11,4147,16,0,1360,10949,471,43,365,175,0,3885,462,0,1,1,59,0,111
State Police,,,380,0,2,0,0,0,21,20,0,0,0,27,4,31,35,6,2,22,215,0,2,0,0,0,21
Henrico County PD,265700,7324.8,19462,16,64,38,40,290,342,3169,178,0,1450,9439,877,327,400,14,39,4292,1012,15,2,2,1,0,209
State Police,,,220,0,0,0,0,1,3,3,0,0,0,15,2,13,22,1,0,6,141,0,0,0,0,0,25
James City County PD,49400,5044.53,2492,4,20,13,42,18,24,669,28,0,159,850,60,29,87,28,6,676,147,0,1,0,0,0,51
State Police,,,92,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,83,0,0,0,0,0,3
Prince George County PD,33700,3468.84,1169,1,6,7,16,13,15,232,6,0,54,449,35,14,24,5,9,298,159,3,0,0,1,0,28
State Police,,,46,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,40,0,0,0,0,0,2
Prince William County PD,285964,5946.9,17006,12,59,57,161,175,359,3500,78,3,1099,6462,747,437,950,210,33,2771,1573,15,4,1,4,1,336
State Police,,,314,0,0,0,0,0,8,3,0,0,0,15,1,7,28,2,0,5,232,0,0,0,0,0,26
Roanoke County PD,79018,3485.28,2754,0,7,21,43,16,148,877,3,1,211,986,78,184,313,30,8,405,342,0,0,0,1,0,75
State Police,,,46,0,0,0,0,0,4,0,0,0,0,3,1,2,10,0,0,1,20,0,0,0,0,0,6
