Arrests by Offense,Franklin,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,0
Robbery,1,0
Aggravated Assault,2,1
Simple Assault/Intimidation,29,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,
Larceny,10,
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,2,0
Fraud,8,0
Embezzlement,6,0
Stolen Property,0,0
Vandalism,6,0
Drug/Narcotic Offenses,15,0
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,91,1
Bad Checks,6,0
Curfew/Loitering/Vagrancy,1,2
Disorderly Conduct,,
Driving Under Influence,61,0
Drunkenness,71,2
"Family Offenses, Nonforcible",,
Liquor Laws Violations,16,1
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,7,2
Conspiracy,0,0
All Other (except Traffic),17,3
TOTAL GROUP B,180,10
GRAND TOTAL,271,11
