Arrests by Offense,Galax,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,1,0
Aggravated Assault,13,1
Simple Assault/Intimidation,62,3
Arson,0,4
Extortion/Blackmail,0,0
Burglary,,
Larceny,43,13
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,17,0
Fraud,3,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,2,0
Drug/Narcotic Offenses,26,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,2
TOTAL GROUP A,177,28
Bad Checks,110,0
Curfew/Loitering/Vagrancy,,8
Disorderly Conduct,26,2
Driving Under Influence,83,3
Drunkenness,108,0
"Family Offenses, Nonforcible",2,
Liquor Laws Violations,22,10
Peeping Tom,0,0
Runaway,0,4
Trespass of Real Property,14,0
Conspiracy,0,0
All Other (except Traffic),39,1
TOTAL GROUP B,404,28
GRAND TOTAL,581,56
