Arrests by Offense,Norton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,1,2
Aggravated Assault,4,0
Simple Assault/Intimidation,14,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,10,
Larceny,108,15
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,2,0
Fraud,2,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,5,0
Drug/Narcotic Offenses,8,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,,1
TOTAL GROUP A,158,21
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,7,6
Driving Under Influence,53,1
Drunkenness,70,2
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,10,
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,6,0
Conspiracy,0,0
All Other (except Traffic),138,6
TOTAL GROUP B,285,16
GRAND TOTAL,443,37
