Arrests by Offense,Goochland,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,13,0
Simple Assault/Intimidation,1,0
Arson,1,0
Extortion/Blackmail,0,0
Burglary,3,2
Larceny,4,5
Motor Vehicle Theft,3,1
Counterfeiting/Forgery,6,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,3,0
Drug/Narcotic Offenses,1,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,1,1
TOTAL GROUP A,37,12
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,,
Driving Under Influence,17,0
Drunkenness,8,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,1,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,3,0
Conspiracy,0,0
All Other (except Traffic),175,0
TOTAL GROUP B,204,1
GRAND TOTAL,241,13
