Arrests by Offense,Southampton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,1
Robbery,0,0
Aggravated Assault,7,0
Simple Assault/Intimidation,31,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,,
Larceny,5,
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,0,0
Fraud,1,0
Embezzlement,2,0
Stolen Property,2,0
Vandalism,5,0
Drug/Narcotic Offenses,35,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,97,1
Bad Checks,30,0
Curfew/Loitering/Vagrancy,2,0
Disorderly Conduct,2,
Driving Under Influence,69,0
Drunkenness,9,0
"Family Offenses, Nonforcible",,
Liquor Laws Violations,,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,8,0
Conspiracy,1,0
All Other (except Traffic),315,2
TOTAL GROUP B,436,2
GRAND TOTAL,533,3
