Location,Number of Offenses
Air/Bus/Train Terminal,323
Bank/Savings & Loan,573
Bar/Night Club,713
Church/Synagogue/Temple,748
Commercial/Office Building,4987
Construction Site,2094
Convenience Store,8238
Department/Discount Store,12637
Drug Store/Dr Office/Hospital,1869
Field/Woods,748
Government/Public Building,1233
Grocery/Supermarket,5366
Highway/Road/Alley,13201
Hotel/Motel/Etc.,1979
Jail/Penitentiary,61
Lake/Waterway,261
Liquor Store,251
Parking Lot/Garage,22924
Rental/Storage Facility,616
Residence/Home,52188
Restaurant,2946
School/College,5801
Service/Gas Station,8532
Specialty Store,5451
Other/Unknown,11437
TOTAL,165177
