Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,7293,5119,2148,6,20
Curfew/Loitering/Vagrancy Violations,2110,1186,907,1,16
Disorderly Conduct,6505,3262,3186,7,50
Driving Under the Influence,24336,19445,4582,27,282
Drunkenness,25493,19098,6223,32,140
"Family Offenses, Nonviolent",1147,460,681,1,5
Liquor Law Violations,8908,6670,2059,7,172
Peeping Tom,114,83,25,0,6
Runaway,4019,2029,1959,6,25
Trespass of Real Property,7721,3448,4226,1,46
Conspiracy to Commit Group A Offense,203,165,38,0,0
Conspiracy to Commit Group B Offense,13,10,2,0,1
All Other Offenses,84088,47792,35646,50,600
Total Group B Arrests,171950,108767,61682,138,1363
