Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,10,0
Manslaughter,0,0
Kidnaping,32,3
"Sex Offenses, Forcible",25,21
Robbery,71,8
Aggravated Assault,165,43
Simple Assault/Intimidation,"1,109",259
Arson,2,4
Extortion/Blackmail,0,1
Burglary,97,46
Larceny,968,157
Motor Vehicle Theft,55,26
Counterfeiting/Forgery,104,3
Fraud,167,5
Embezzlement,84,7
Stolen Property,61,17
Vandalism,95,95
Drug/Narcotic Offenses,1248,161
"Sex Offenses, Nonforcible",10,3
Pornography,1,0
Gambling,,0
Prostitution,5,0
Bribery,1,0
Weapon Law Violations,85,43
TOTAL GROUP A,"4,395",902
Bad Checks,37,0
Curfew/Loitering/Vagrancy,2,93
Disorderly Conduct,59,60
Driving Under Influence,1227,9
Drunkenness,349,17
"Family Offenses, Nonforcible",15,
Liquor Laws Violations,31,15
Peeping Tom,1,1
Runaway,0,838
Trespass of Real Property,29,18
Conspiracy,0,0
All Other (except Traffic),796,112
TOTAL GROUP B,2546,1163
GRAND TOTAL,6941,2065
