Arrests by Offense,Albemarle ,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,6,0
"Sex Offenses, Forcible",8,2
Robbery,3,2
Aggravated Assault,29,1
Simple Assault/Intimidation,318,36
Arson,1,3
Extortion/Blackmail,0,0
Burglary,23,20
Larceny,200,144
Motor Vehicle Theft,1,1
Counterfeiting/Forgery,41,0
Fraud,46,3
Embezzlement,26,0
Stolen Property,10,0
Vandalism,20,3
Drug/Narcotic Offenses,114,35
"Sex Offenses, Nonforcible",0,0
Pornography,4,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,28,7
TOTAL GROUP A,882,257
Bad Checks,167,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,53,12
Driving Under Influence,187,3
Drunkenness,148,0
"Family Offenses, Nonforcible",5,0
Liquor Laws Violations,57,25
Peeping Tom,2,0
Runaway,0,3
Trespass of Real Property,51,5
Conspiracy,0,0
All Other (except Traffic),740,43
TOTAL GROUP B,1410,91
GRAND TOTAL,2292,348
