Arrests by Offense,Carroll,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",4,0
Robbery,1,0
Aggravated Assault,34,3
Simple Assault/Intimidation,170,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,31,2
Larceny,47,0
Motor Vehicle Theft,8,0
Counterfeiting/Forgery,8,0
Fraud,13,0
Embezzlement,4,0
Stolen Property,1,0
Vandalism,28,0
Drug/Narcotic Offenses,71,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,432,12
Bad Checks,180,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,9,0
Driving Under Influence,100,0
Drunkenness,59,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,3,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,29,1
Conspiracy,0,0
All Other (except Traffic),440,23
TOTAL GROUP B,823,25
GRAND TOTAL,1255,37
