Arrests by Offense,Scott,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",5,1
Robbery,2,0
Aggravated Assault,28,1
Simple Assault/Intimidation,109,1
Arson,1,0
Extortion/Blackmail,0,0
Burglary,19,2
Larceny,30,0
Motor Vehicle Theft,5,1
Counterfeiting/Forgery,13,0
Fraud,4,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,21,1
Drug/Narcotic Offenses,74,16
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,0
TOTAL GROUP A,330,23
Bad Checks,38,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,64,1
Drunkenness,73,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,2,2
Peeping Tom,0,0
Runaway,0,2
Trespass of Real Property,14,0
Conspiracy,1,0
All Other (except Traffic),219,1
TOTAL GROUP B,416,6
GRAND TOTAL,746,29
