Arrests by Offense,Total State,
,Adult,Juvenile
Murder,244,20
Manslaughter,6,0
Kidnaping,840,62
"Sex Offenses, Forcible",1086,290
Robbery,1666,473
Aggravated Assault,4279,660
Simple Assault/Intimidation,31394,4914
Arson,197,200
Extortion/Blackmail,27,30
Burglary,3137,1167
Larceny,15971,4361
Motor Vehicle Theft,918,261
Counterfeiting/Forgery,2329,64
Fraud,3349,113
Embezzlement,1629,123
Stolen Property,824,165
Vandalism,3151,1618
Drug/Narcotic Offenses,29542,2798
"Sex Offenses, Nonforcible",125,14
Pornography,86,2
Gambling,110,6
Prostitution,771,1
Bribery,11,0
Weapon Law Violations,3381,697
TOTAL GROUP A,105073,18039
Bad Checks,5917,7
Curfew/Loitering/Vagrancy,134,2988
Disorderly Conduct,5172,1816
Driving Under Influence,23692,173
Drunkenness,27793,238
"Family Offenses, Nonforcible",1501,16
Liquor Laws Violations,9301,1843
Peeping Tom,70,7
Runaway,1,5260
Trespass of Real Property,8122,1276
Conspiracy,138,11
All Other (except Traffic),89330,6925
TOTAL GROUP B,171171,20560
GRAND TOTAL,276244,38599
