Structure,Loss Value
Single Occupancy Dwelling,"7,477,273"
Other Dwelling,"2,898,032"
Commercial/Business,"2,221,428"
Industrial/Manufacturing,"30,400"
Public/Community,"326,678"
Storage,"398,143"
Other,"758,364"
Non-Structure,
Alcohol,
Automobiles,"1,208,362"
Bicycles,151
Buses,"31,200"
Clothes/Furs,"4,644"
Computer Hardware/Software,"1,080"
Consumable Goods,"8,195"
Farm Equipment,"92,525"
Firearms,"1,000"
Heavy Construction/Indust.,"206,021"
Household Goods,"58,219"
Jewelry/Precious Metals,
Merchandise,"182,997"
Money,"37,000"
Negotiable Instruments,
Office-Type Equipment,
Other Motor Vehicles,"122,201"
Purses/Handbags/Wallets,
Radios/TVs/VCRs,500
Recordings-Audio/Visual,
Recreational Vehicles,"50,401"
Tools,"16,596"
Trucks,"367,420"
Vehicle Parts/Accessories,"163,700"
Watercraft,"10,100"
Other,"$851,068"
Total,"17,523,698"
