Arrests by Offense,Roanoke,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,28,5
"Sex Offenses, Forcible",18,2
Robbery,67,16
Aggravated Assault,220,37
Simple Assault/Intimidation,1074,138
Arson,4,4
Extortion/Blackmail,0,0
Burglary,109,26
Larceny,575,171
Motor Vehicle Theft,47,16
Counterfeiting/Forgery,65,2
Fraud,81,5
Embezzlement,55,5
Stolen Property,5,3
Vandalism,112,88
Drug/Narcotic Offenses,1189,126
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,1,0
Prostitution,78,0
Bribery,0,0
Weapon Law Violations,73,24
TOTAL GROUP A,3805,668
Bad Checks,17,0
Curfew/Loitering/Vagrancy,4,33
Disorderly Conduct,111,202
Driving Under Influence,381,5
Drunkenness,2136,1
"Family Offenses, Nonforcible",25,1
Liquor Laws Violations,243,3
Peeping Tom,2,0
Runaway,0,13
Trespass of Real Property,543,54
Conspiracy,5,0
All Other (except Traffic),1071,174
TOTAL GROUP B,4538,486
GRAND TOTAL,8343,1154
