Arrests by Offense,Buckingham ,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,2,0
Aggravated Assault,6,4
Simple Assault/Intimidation,79,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,1
Larceny,12,0
Motor Vehicle Theft,8,3
Counterfeiting/Forgery,0,0
Fraud,2,0
Embezzlement,0,0
Stolen Property,0,0
Vandalism,7,0
Drug/Narcotic Offenses,36,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,165,16
Bad Checks,21,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,2,0
Driving Under Influence,63,3
Drunkenness,26,0
"Family Offenses, Nonforcible",2,1
Liquor Laws Violations,6,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,10,0
Conspiracy,0,0
All Other (except Traffic),93,1
TOTAL GROUP B,223,7
GRAND TOTAL,388,23
