Arrests by Offense,Loudoun,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,11,1
"Sex Offenses, Forcible",17,3
Robbery,22,8
Aggravated Assault,60,14
Simple Assault/Intimidation,500,39
Arson,1,1
Extortion/Blackmail,1,0
Burglary,33,27
Larceny,304,36
Motor Vehicle Theft,32,8
Counterfeiting/Forgery,27,0
Fraud,76,1
Embezzlement,76,8
Stolen Property,9,2
Vandalism,49,26
Drug/Narcotic Offenses,652,69
"Sex Offenses, Nonforcible",3,0
Pornography,22,0
Gambling,0,0
Prostitution,3,0
Bribery,0,0
Weapon Law Violations,42,6
TOTAL GROUP A,1940,249
Bad Checks,40,0
Curfew/Loitering/Vagrancy,0,32
Disorderly Conduct,28,6
Driving Under Influence,919,6
Drunkenness,576,4
"Family Offenses, Nonforcible",3,1
Liquor Laws Violations,186,90
Peeping Tom,3,0
Runaway,0,226
Trespass of Real Property,84,9
Conspiracy,0,1
All Other (except Traffic),2287,447
TOTAL GROUP B,4126,822
GRAND TOTAL,6066,1071
