Arrests by Offense,Westmoreland,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",1,0
Robbery,2,0
Aggravated Assault,8,0
Simple Assault/Intimidation,69,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,2,0
Larceny,15,0
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,0,0
Fraud,4,0
Embezzlement,0,0
Stolen Property,4,0
Vandalism,8,0
Drug/Narcotic Offenses,23,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,141,2
Bad Checks,12,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,1
Driving Under Influence,64,0
Drunkenness,58,1
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,5,0
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,5,0
Conspiracy,0,0
All Other (except Traffic),142,1
TOTAL GROUP B,293,4
GRAND TOTAL,434,6
