Relationship of Victim to Offender (may include multiple relationships),Number
Spouse,445
Common-Law Spouse,37
Parent,174
Sibling,222
Child,218
Grandparent,14
Grandchild,5
In-Law,35
Stepparent,25
Stepchild,42
Stepsibling,13
Other Family Member,234
Victim Was Offender,533
Acquaintance,2626
Friend,429
Neighbor,137
Babysittee (the baby),10
Boyfriend/Girlfriend,1016
Child of Boyfriend/Girlfriend,31
Homosexual Relationship,42
Ex-Spouse,33
Employee,13
Employer,8
Otherwise Known,1231
Relationship Unknown,3502
Victim Was Stranger,2259
