Arrests by Offense,Newport News,
,Adult,Juvenile
Murder,11,4
Manslaughter,0,0
Kidnaping,23,1
"Sex Offenses, Forcible",31,7
Robbery,68,29
Aggravated Assault,202,23
Simple Assault/Intimidation,1227,201
Arson,2,14
Extortion/Blackmail,0,0
Burglary,91,66
Larceny,560,329
Motor Vehicle Theft,35,27
Counterfeiting/Forgery,57,4
Fraud,80,1
Embezzlement,41,2
Stolen Property,29,15
Vandalism,80,58
Drug/Narcotic Offenses,1462,172
"Sex Offenses, Nonforcible",1,0
Pornography,1,1
Gambling,2,3
Prostitution,55,0
Bribery,1,0
Weapon Law Violations,178,41
TOTAL GROUP A,4237,998
Bad Checks,5,0
Curfew/Loitering/Vagrancy,7,201
Disorderly Conduct,36,61
Driving Under Influence,403,9
Drunkenness,794,9
"Family Offenses, Nonforcible",149,3
Liquor Laws Violations,8,23
Peeping Tom,5,1
Runaway,0,827
Trespass of Real Property,144,198
Conspiracy,0,0
All Other (except Traffic),348,499
TOTAL GROUP B,1899,1831
GRAND TOTAL,6136,2829
