Arrests by Offense,Mecklenburg,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,4,0
Aggravated Assault,22,2
Simple Assault/Intimidation,147,13
Arson,1,0
Extortion/Blackmail,0,0
Burglary,6,3
Larceny,144,20
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,4,0
Fraud,6,0
Embezzlement,7,0
Stolen Property,1,0
Vandalism,16,3
Drug/Narcotic Offenses,101,7
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,20,1
TOTAL GROUP A,484,49
Bad Checks,20,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,8
Driving Under Influence,165,1
Drunkenness,80,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,18,4
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,14,0
Conspiracy,1,0
All Other (except Traffic),127,7
TOTAL GROUP B,433,21
GRAND TOTAL,917,70
