Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
"Alcoholic Bev. Control, Dept.",107,86,21,32
"Capitol Police, Division",68,59,9,12
"Conservation & Rec., Dept.",105,95,10,139
"Game&Inland Fisheries, Dept",167,157,10,19
"Motor Vehicles, Dept.",72,67,5,16
"Virginia State Police, Dept.",1858,1754,104,663
Metro. Wash.Airport Auth.,216,170,46,92
Norfolk Airport Authority,37,33,4,7
Richmond Int'l Airport,26,21,5,8
Southside Va. Trng Center,16,14,2,1
Virginia Port Authority,73,64,9,7
OTHER AGENCY TOTAL,2745,2520,225,996
