Arrests by Offense,Bristol,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",8,0
Robbery,2,0
Aggravated Assault,42,0
Simple Assault/Intimidation,134,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,15,1
Larceny,153,2
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,20,0
Fraud,19,0
Embezzlement,1,0
Stolen Property,2,1
Vandalism,15,0
Drug/Narcotic Offenses,185,3
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,4,0
Bribery,0,0
Weapon Law Violations,15,1
TOTAL GROUP A,621,10
Bad Checks,6,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,7,0
Driving Under Influence,37,0
Drunkenness,339,0
"Family Offenses, Nonforcible",14,0
Liquor Laws Violations,28,4
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,41,1
Conspiracy,2,0
All Other (except Traffic),361,7
TOTAL GROUP B,835,12
GRAND TOTAL,1456,22
