Arrests by Offense,Harrisonburg,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,10,0
"Sex Offenses, Forcible",9,5
Robbery,6,5
Aggravated Assault,31,2
Simple Assault/Intimidation,240,8
Arson,7,0
Extortion/Blackmail,0,0
Burglary,20,5
Larceny,216,11
Motor Vehicle Theft,0,4
Counterfeiting/Forgery,31,0
Fraud,54,2
Embezzlement,11,0
Stolen Property,9,0
Vandalism,36,5
Drug/Narcotic Offenses,361,7
"Sex Offenses, Nonforcible",1,0
Pornography,0,1
Gambling,0,0
Prostitution,4,0
Bribery,0,0
Weapon Law Violations,34,1
TOTAL GROUP A,1082,56
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,36,1
Driving Under Influence,189,0
Drunkenness,618,2
"Family Offenses, Nonforcible",12,0
Liquor Laws Violations,781,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,92,3
Conspiracy,0,0
All Other (except Traffic),1513,6
TOTAL GROUP B,3278,15
GRAND TOTAL,4360,71
