Arrests by Offense,Williamsburg,
,Adult,Juvenile
Murder,4,0
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",6,2
Robbery,2,0
Aggravated Assault,5,0
Simple Assault/Intimidation,89,13
Arson,2,0
Extortion/Blackmail,1,0
Burglary,5,0
Larceny,44,4
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,10,1
Fraud,14,2
Embezzlement,2,0
Stolen Property,1,0
Vandalism,8,0
Drug/Narcotic Offenses,60,0
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,3,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,270,22
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,13,0
Driving Under Influence,77,0
Drunkenness,145,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,31,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,9,0
Conspiracy,0,0
All Other (except Traffic),27,1
TOTAL GROUP B,305,1
GRAND TOTAL,575,23
