Arrests by Offense,Charlotte,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,6,1
Simple Assault/Intimidation,92,8
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,3
Larceny,16,1
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,1,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,1,0
Vandalism,13,0
Drug/Narcotic Offenses,24,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,158,17
Bad Checks,36,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,13
Driving Under Influence,45,0
Drunkenness,31,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,7,0
Conspiracy,0,0
All Other (except Traffic),122,1
TOTAL GROUP B,247,14
GRAND TOTAL,405,31
