Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,1
Robbery,0,0
Aggravated Assault,3,0
Simple Assault/Intimidation,172,33
Arson,2,4
Extortion/Blackmail,0,0
Burglary,6,0
Larceny,112,24
Motor Vehicle Theft,10,0
Counterfeiting/Forgery,8,0
Fraud,17,0
Embezzlement,3,0
Stolen Property,4,0
Vandalism,22,9
Drug/Narcotic Offenses,245,9
"Sex Offenses, Nonforcible",2,0
Pornography,0,4
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,2
TOTAL GROUP A,618,86
Bad Checks,17,0
Curfew/Loitering/Vagrancy,3,14
Disorderly Conduct,17,24
Driving Under Influence,221,2
Drunkenness,475,15
"Family Offenses, Nonforcible",10,0
Liquor Laws Violations,43,40
Peeping Tom,0,0
Runaway,0,25
Trespass of Real Property,29,3
Conspiracy,0,0
All Other (except Traffic),762,73
TOTAL GROUP B,1577,196
GRAND TOTAL,2195,282
