Offense,Number of Completed Offenses,Value Stolen
Bribery,18,"$1,349"
Burglary,"26,356","52,312,635"
Embezzlement,"2,641","16,255,740"
Extortion/Blackmail ,67,"287,590"
False Pretenses/Swindle/Confidence Game,"11,555","28,376,829"
Credit Card/ATM Fraud ,"8,322","7,829,550"
Impersonation,"5,089","1,572,149"
Welfare Fraud,113,"186,011"
Wire Fraud,654,"1,784,562"
TOTAL FRAUD: ,"25,733","$39,749,101"
Kidnaping/Abduction ,"1,238","56,932"
Pocket Picking,550,"479,401"
Purse Snatching,205,"75,588"
Shoplifting,"28,129","5,547,713"
Theft From Building ,"20,999","30,953,324"
Theft From Coin-Operated Machine,273,"51,248"
Theft From Motor Vehicle,"30,544","20,928,378"
Theft of Motor Vehicle Parts/Accessories ,"9,083","3,086,901"
All Other Larceny,"49,152","53,985,798"
TOTAL LARCENY: ,"138,935","$115,108,351"
Motor Vehicle Theft ,"8,545","55,883,342"
Robbery,"$4,057","3,943,927"
GRAND TOTAL ,"$207,590","$283,598,967"
