TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Abingdon PD ,8188,5935.51,486,0,0,4,1,1,6,63,4,0,20,215,12,9,22,9,1,70,78,0,1,0,1,0,9
Altavista PD ,3478,3277.74,114,0,0,0,1,2,6,37,0,0,4,53,0,2,3,2,0,12,2,0,0,0,0,0,1
Amherst PD ,2225,2786.51,62,0,0,2,0,0,0,4,0,0,6,18,2,4,4,0,0,16,19,0,0,0,0,0,1
Appalachia PD ,1734,8246.82,143,0,1,2,0,2,8,40,0,0,25,53,1,1,4,1,0,28,4,0,0,0,0,0,0
Ashland PD ,7289,8725.47,636,0,3,0,2,8,17,155,1,0,14,222,11,16,36,9,3,110,216,0,0,0,2,0,16
Berryville PD ,4265,3540.44,151,0,0,0,4,1,2,13,0,0,7,72,1,0,2,0,0,35,23,0,0,0,0,0,1
Big Stone Gap PD ,5580,7240.14,404,0,1,4,4,0,13,95,2,1,21,195,6,18,13,1,1,61,23,0,0,0,0,0,4
Blacksburg PD ,42627,3084.89,1315,0,1,6,10,4,20,284,8,2,93,424,16,14,89,7,1,362,127,1,4,0,0,0,13
Blackstone PD ,3584,8537.94,306,0,2,1,0,6,7,49,1,0,16,116,1,15,20,4,1,37,65,0,0,0,0,0,5
Bloxom PD ,389,257.06,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluefield PD4 ,5365,3131.4,168,0,0,0,1,1,2,14,1,0,10,100,0,12,7,2,1,10,36,0,0,0,0,0,4
Bowling Green PD ,1126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,556,4856.11,27,0,0,0,0,0,0,5,0,0,1,8,1,1,3,0,0,8,0,0,1,0,0,0,1
Bridgewater PD ,5774,1524.07,88,0,0,1,0,0,3,4,0,0,10,38,1,0,5,0,0,15,15,0,0,0,0,0,0
Broadway PD ,3748,400.21,15,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,1
Brookneal PD ,1119,2234.13,25,0,1,0,0,0,1,3,0,0,2,12,0,1,2,0,0,3,1,0,0,0,0,0,0
Burkeville PD ,426,4225.35,18,0,0,0,0,0,1,8,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0
Cape Charles PD ,999,2902.9,29,0,0,0,0,0,0,2,1,0,2,11,1,0,1,0,0,8,1,0,0,0,0,0,3
Cedar Bluff PD 4 ,1114,89.76,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase City PD ,2333,5357.9,125,0,0,1,1,2,6,11,0,0,7,55,0,1,7,0,1,30,8,0,0,0,0,0,3
Chatham PD ,1491,938.96,14,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,3,0,0,0,0,0,0,0
Chilhowie PD ,1757,3187.25,56,0,0,0,0,0,0,7,0,0,4,33,2,1,2,1,3,6,12,0,0,0,0,0,3
Chincoteague PD ,2947,3732.6,110,0,0,0,0,0,2,26,1,0,9,38,1,0,2,1,0,21,20,0,0,0,0,0,0
Christiansburg PD ,21458,6212.13,1333,1,2,7,19,3,13,391,2,0,53,480,15,23,128,19,5,129,244,1,6,0,0,0,17
Clarksville PD ,1131,4420.86,50,0,3,0,0,0,3,3,0,0,2,19,3,1,2,0,1,16,5,0,0,0,0,0,2
Clifton Forge PD ,3876,3431.37,133,0,1,2,5,0,6,26,0,0,9,38,4,2,5,0,0,44,6,0,0,0,0,0,0
Clintwood PD ,1383,3398.4,47,0,0,0,0,0,2,7,0,0,3,21,1,0,6,2,1,4,5,0,0,0,0,0,1
Coeburn PD ,2123,9656.14,205,0,1,0,0,0,3,40,1,0,24,82,3,6,4,0,0,25,52,0,0,0,0,0,4
Colonial Beach PD ,3550,4647.88,165,0,0,0,5,1,4,25,0,0,21,57,11,0,2,0,0,35,15,0,0,0,0,0,4
Crewe PD ,2302,5951.34,137,0,0,0,1,0,3,22,0,0,19,45,2,2,7,1,2,27,21,0,1,0,0,0,4
Culpeper PD ,16633,8380.92,1394,0,7,4,10,10,24,392,0,0,29,501,21,14,110,26,2,194,242,2,3,0,0,0,9
Damascus PD ,815,10920.24,89,0,0,1,0,0,1,7,0,0,3,20,0,1,7,0,3,5,55,0,0,0,0,0,2
Dayton PD ,1551,1934.23,30,0,0,0,0,0,0,1,0,0,3,9,0,0,6,1,0,7,5,0,0,0,0,0,0
Dublin PD ,2516,3616.85,91,0,0,1,2,0,0,15,0,0,5,41,6,1,3,1,0,14,12,0,0,0,0,0,3
Dumfries PD ,5144,3985.22,205,0,0,0,0,0,0,38,0,0,21,86,10,4,3,1,0,26,32,0,0,0,0,0,3
Edinburg PD ,1054,2751.42,29,0,0,0,1,0,0,3,0,0,3,16,0,2,1,0,0,6,0,0,0,0,0,0,0
Elkton PD ,2764,2894.35,80,0,0,0,0,0,0,8,0,0,4,25,3,1,2,1,1,20,31,0,0,0,0,0,1
Exmore PD ,1449,5314,77,0,0,1,0,0,7,15,1,0,11,24,2,1,2,1,0,7,11,1,1,0,0,0,3
Farmville PD ,8161,7131.47,582,0,1,1,0,6,8,100,1,0,15,263,3,7,25,7,2,113,50,0,0,0,0,0,13
Front Royal PD ,14666,8284.46,1215,0,2,4,22,7,4,282,0,0,40,445,25,22,85,3,5,260,98,0,2,0,0,0,22
